"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"KZ000036880","ALATIY AMC, KZ","2025-01-01","26","28","24"
"KZ000036880","ALATIY AMC, KZ","2025-01-02","24","30","20"
"KZ000036880","ALATIY AMC, KZ","2025-01-03","21","29","11"
"KZ000036880","ALATIY AMC, KZ","2025-01-04","24","30","19"
"KZ000036880","ALATIY AMC, KZ","2025-01-05","27","31","23"
"KZ000036880","ALATIY AMC, KZ","2025-01-06","26","31","23"
"KZ000036880","ALATIY AMC, KZ","2025-01-07",,,
"KZ000036880","ALATIY AMC, KZ","2025-01-09",,,
"KZ000036880","ALATIY AMC, KZ","2025-01-10","16","28","7"
"KZ000036880","ALATIY AMC, KZ","2025-01-11","15","28","7"
"KZ000036880","ALATIY AMC, KZ","2025-01-12","15","24","8"
"KZ000036880","ALATIY AMC, KZ","2025-01-13","15","25","10"
"KZ000036880","ALATIY AMC, KZ","2025-01-14","17","26","9"
"KZ000036880","ALATIY AMC, KZ","2025-01-15","21","32","14"
"KZ000036880","ALATIY AMC, KZ","2025-01-16","25","35","19"
"KZ000036880","ALATIY AMC, KZ","2025-01-17","26","35","17"
"KZ000036880","ALATIY AMC, KZ","2025-01-18","27","33","22"
"KZ000036880","ALATIY AMC, KZ","2025-01-19","28","31","22"
"KZ000036880","ALATIY AMC, KZ","2025-01-20","27","31","24"
"KZ000036880","ALATIY AMC, KZ","2025-01-21","31","35","25"
"KZ000036880","ALATIY AMC, KZ","2025-01-22",,,
"KZ000036880","ALATIY AMC, KZ","2025-01-25","11","24","0"
"KZ000036880","ALATIY AMC, KZ","2025-01-26","13","24","4"
"KZ000036880","ALATIY AMC, KZ","2025-01-27","20","33","11"
"KZ000036880","ALATIY AMC, KZ","2025-01-28","22","29","15"
"KZ000036880","ALATIY AMC, KZ","2025-01-29","29","34","21"
"KZ000036880","ALATIY AMC, KZ","2025-01-31",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-01","19","26","15"
"KZ000036880","ALATIY AMC, KZ","2025-02-02","14","23","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-03","11","20","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-04","13","24","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-05","11","22","6"
"KZ000036880","ALATIY AMC, KZ","2025-02-06","17","30","7"
"KZ000036880","ALATIY AMC, KZ","2025-02-07",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-08","19","28","13"
"KZ000036880","ALATIY AMC, KZ","2025-02-09",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-10",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-12",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-14","23","28","19"
"KZ000036880","ALATIY AMC, KZ","2025-02-15","29","36","21"
"KZ000036880","ALATIY AMC, KZ","2025-02-16",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-17","27","36","20"
"KZ000036880","ALATIY AMC, KZ","2025-02-18","23","27","19"
"KZ000036880","ALATIY AMC, KZ","2025-02-19","25","29","21"
"KZ000036880","ALATIY AMC, KZ","2025-02-20",,,
"KZ000036880","ALATIY AMC, KZ","2025-02-21","29","37","23"
"KZ000036880","ALATIY AMC, KZ","2025-02-22","30","42","24"
"KZ000036880","ALATIY AMC, KZ","2025-02-23","35","48","28"
"KZ000036880","ALATIY AMC, KZ","2025-02-24","38","47","31"
"KZ000036880","ALATIY AMC, KZ","2025-02-25","42","47","35"
"KZ000036880","ALATIY AMC, KZ","2025-02-28",,,
"KZ000036880","ALATIY AMC, KZ","2025-03-02","31","39","27"
"KZ000036880","ALATIY AMC, KZ","2025-03-03",,,
"KZ000036880","ALATIY AMC, KZ","2025-03-05","30","40","22"
